Height,Weight,Sex
165.65,35.41,Female
148.53,74.45,Female
167.04,81.22,Male
161.54,71.47,Male
174.31,78.18,Male
143.05,79.27,Female
149.16,63.71,Female
155.80,86.01,Female
145.37,88.33,Female
162.56,87.36,Male
163.84,78.58,Male
172.73,88.08,Male
142.03,56.30,Female
150.17,53.46,Female
188.62,60.95,Male
184.62,72.51,Male
168.43,86.80,Male
171.19,54.12,Male
137.10,73.36,Female
149.42,69.20,Female
147.33,56.01,Female
175.14,107.25,Male
168.04,92.24,Male
158.54,64.44,Male
138.90,68.75,Female
129.27,58.43,Female
173.64,59.52,Female
175.26,62.65,Male
180.09,44.07,Male
144.58,83.36,Female
178.76,66.12,Male
151.53,91.02,Male
168.55,80.20,Male
160.86,63.68,Male
183.83,62.75,Male
179.27,50.04,Male
158.89,60.49,Male
124.37,74.57,Female
140.42,54.64,Female
155.06,84.34,Male
166.62,75.18,Male
172.96,78.39,Male
174.34,84.76,Male
165.09,83.54,Female
138.09,63.06,Female
141.31,52.13,Female
162.63,65.25,Male
178.49,73.67,Male
165.95,52.42,Male
156.92,54.45,Female
135.28,63.91,Female
145.79,68.34,Female
153.90,77.50,Male
171.09,87.80,Male
142.89,73.04,Female
159.81,61.40,Female
130.32,52.81,Female
162.79,94.37,Male
202.67,110.01,Male
171.81,82.74,Male
164.36,70.33,Male
166.39,43.02,Male
135.27,54.87,Female
146.80,57.93,Female
147.48,73.70,Male
161.79,43.37,Male
173.46,98.82,Male
162.64,63.90,Male
185.85,75.22,Male
133.58,63.28,Female
174.40,80.63,Male
169.00,72.22,Male
165.70,59.89,Male
163.96,78.33,Male
179.00,61.11,Male
165.85,53.76,Female
155.24,80.46,Female
159.07,71.68,Female
147.64,62.48,Female
156.37,86.07,Female
168.14,88.04,Male
156.84,83.14,Male
187.53,78.35,Male
190.75,71.14,Male
174.11,88.22,Male
154.95,73.53,Female
175.71,64.29,Male
159.27,70.23,Female
149.40,63.92,Female
181.40,65.29,Male
169.60,60.53,Male
162.59,111.01,Male
177.99,66.00,Male
147.03,74.86,Female
155.17,56.83,Female
158.12,58.54,Female
153.50,58.89,Female
153.12,76.97,Male
161.00,72.74,Male
175.14,78.87,Male
154.30,80.71,Female
150.76,81.39,Female
189.32,102.21,Male
170.51,94.81,Male
190.74,76.88,Male
146.94,46.75,Female
148.43,44.27,Female
147.31,64.52,Female
141.60,82.94,Female
172.54,76.40,Male
165.25,71.07,Male
183.89,102.83,Male
140.75,52.53,Female
151.89,75.10,Female
139.26,57.12,Female
171.68,41.78,Female
184.74,63.43,Male
159.67,39.85,Male
136.21,60.32,Female
143.93,46.96,Female
176.67,75.08,Male
163.07,81.95,Male
140.94,61.15,Female
138.44,72.88,Female
137.87,66.45,Female
161.59,48.10,Female
143.24,56.04,Female
153.84,81.33,Male
175.94,67.79,Male
170.48,89.69,Male
182.99,52.70,Male
151.80,57.08,Male
171.97,50.98,Female
159.09,61.95,Female
153.81,86.79,Male
163.31,59.42,Male
168.75,108.43,Male
158.80,36.87,Male
176.33,91.30,Male
164.22,94.48,Male
179.14,83.67,Male
154.26,81.67,Male
153.82,58.05,Female
156.08,39.52,Female
157.08,39.56,Female
154.24,65.25,Female
161.01,57.95,Male
145.98,62.41,Female
149.75,65.69,Female
131.10,48.25,Female
153.05,45.56,Female
172.37,97.62,Female
146.16,55.88,Female
155.30,69.28,Female
161.26,59.20,Female
184.60,79.95,Male
174.70,91.61,Male
152.33,65.35,Male
140.53,68.34,Female
151.09,72.36,Female
183.01,62.01,Male
181.12,75.36,Male
169.18,46.52,Male
187.52,75.56,Male
148.51,60.02,Female
169.08,80.27,Female
110.81,80.53,Female
141.09,37.78,Female
157.80,52.59,Female
132.22,74.22,Female
182.56,41.93,Female
169.11,65.72,Male
158.21,63.66,Male
172.73,93.31,Male
177.50,64.77,Male
158.79,68.02,Female
152.65,69.14,Female
185.58,64.29,Male
146.41,75.92,Female
160.85,58.64,Female
153.66,59.28,Female
126.92,66.71,Female
163.05,53.67,Male
184.15,59.24,Male
146.01,54.24,Female
156.50,54.68,Female
187.96,64.63,Male
155.18,67.45,Female
143.41,65.98,Female
179.58,87.84,Male
184.00,62.46,Male
186.31,67.29,Male
185.85,80.42,Male
170.72,58.94,Male
140.86,58.80,Female
140.30,55.31,Female
143.47,58.03,Female
146.13,58.46,Male
173.27,92.95,Male
158.03,71.42,Female
159.95,57.91,Male
169.88,97.47,Male
152.08,77.75,Male
178.00,76.26,Male
142.37,57.97,Female
158.06,61.70,Female
171.20,69.52,Male
173.91,86.33,Male
164.75,73.36,Male
131.18,78.22,Female
146.41,70.16,Female
142.98,49.72,Female
154.81,87.17,Female
135.19,54.28,Female
177.56,58.18,Male
135.67,75.47,Female
152.16,69.69,Female
175.17,70.73,Male
179.54,64.94,Male
166.90,87.86,Male
181.71,85.89,Male
143.75,68.40,Female
145.65,48.34,Female
146.47,53.41,Female
144.85,71.17,Female
158.77,80.93,Male
183.28,73.21,Male
149.47,76.71,Female
149.86,43.75,Female
142.25,64.26,Female
174.77,75.83,Male
168.92,60.85,Male
146.09,81.58,Female
129.07,62.75,Female
157.75,67.06,Female
179.77,100.86,Male
166.64,75.00,Male
176.85,94.72,Male
177.26,75.32,Male
162.92,68.25,Male
134.49,70.15,Female
154.64,84.86,Female
157.19,59.40,Female
163.08,72.81,Male
153.35,71.34,Female
156.75,78.53,Male
176.93,58.26,Male
168.36,44.60,Male
160.58,76.69,Male
153.54,48.62,Female
173.22,60.05,Female
169.35,29.48,Female
169.98,54.58,Male
173.67,83.75,Male
159.18,63.56,Male
150.21,63.15,Female
145.25,57.86,Female
165.26,62.84,Female
144.22,40.09,Female
167.08,43.74,Female
151.54,64.58,Female
151.00,58.31,Female
169.78,92.55,Male
171.48,40.97,Male
170.06,64.39,Male
156.45,79.48,Male
178.37,89.41,Male
164.60,66.90,Female
156.93,72.25,Female
179.43,101.72,Male
148.56,88.70,Male
158.22,101.08,Male
146.44,48.99,Female
150.67,58.18,Female
141.97,33.68,Female
133.53,58.18,Female
156.53,58.97,Male
175.22,78.74,Male
170.04,64.46,Male
170.48,99.23,Male
167.44,63.57,Male
182.78,74.66,Male
153.69,44.64,Female
153.16,39.00,Female
153.21,51.57,Female
176.83,74.99,Male
173.51,81.52,Male
164.56,90.58,Male
152.94,76.49,Male
144.32,57.76,Female
161.08,57.67,Female
160.09,66.63,Female
152.61,52.50,Female
190.99,73.92,Male
174.22,81.02,Male
169.95,99.77,Male
175.99,86.24,Male
177.47,104.04,Male
177.29,65.14,Male
146.52,60.22,Female
148.40,52.44,Female
160.24,57.51,Female
166.54,69.98,Male
167.28,82.38,Male
177.36,66.09,Male
148.54,92.81,Female
125.81,76.33,Female
146.15,59.21,Female
142.74,74.35,Female
134.98,51.96,Female
164.70,63.32,Male
157.07,61.64,Male
161.74,76.15,Male
153.11,81.39,Female
167.43,55.59,Female
174.61,99.74,Male
168.45,96.57,Male
179.37,84.29,Male
178.50,90.38,Male
160.86,82.68,Male
139.55,70.50,Female
164.10,71.74,Female
135.02,67.43,Female
139.03,71.68,Female
138.17,48.11,Female
172.69,47.27,Male
151.25,85.99,Male
157.14,98.12,Male
154.47,65.70,Female
149.21,91.41,Female
173.12,58.35,Female
149.27,62.62,Female
154.04,54.61,Female
168.04,71.90,Male
176.36,95.94,Male
165.27,58.08,Male
184.18,63.08,Male
156.65,64.97,Female
148.33,65.21,Female
156.70,67.25,Female
200.42,92.09,Male
148.56,81.62,Male
165.59,33.18,Male
158.91,67.66,Female
156.35,57.66,Female
