,state,distnum,distid,party,partname,yearel,origvote,totvote,highestvote,sechighestvote,uniqid,officeexp,share,w_share,inc,next,next_tv
0,1,1,1,100,D,1946,82231.0,175237.0,93006.0,82231.0,15937,0,0.46925592197994714,0.5307440780200529,0,0.5530255824419289,127802.0
2,1,1,1,100,D,1948,127802.0,233700.0,127802.0,103294.0,23403,0,0.5530255824419289,0.5530255824419289,1,0.5696260627780051,148935.0
8,1,1,1,100,D,1954,148935.0,261461.0,148935.0,112526.0,8243,1,0.5696260627780051,0.5696260627780051,1,0.46304079439081286,139147.0
10,1,1,1,100,D,1956,139147.0,301799.0,161360.0,139147.0,29546,0,0.46304079439081286,0.5369592056091872,0,0.5434107518083939,146115.0
12,1,1,1,100,D,1958,146115.0,268885.0,146115.0,122770.0,7302,0,0.5434107518083939,0.5434107518083939,1,0.6996791507397357,141310.0
18,1,1,1,100,D,1964,141310.0,201964.0,141310.0,60654.0,7302,3,0.6996791507397357,0.6996791507397357,1,0.584674039580908,100447.0
20,1,1,1,100,D,1966,100447.0,173099.0,100447.0,71353.0,7302,4,0.584674039580908,0.584674039580908,1,0.626141767001869,124966.0
22,1,1,1,100,D,1968,124966.0,200153.0,124966.0,74615.0,7302,5,0.626141767001869,0.626141767001869,1,0.6356684300285687,117038.0
28,1,1,1,100,D,1974,117038.0,186757.0,117038.0,67080.0,6849,2,0.6356684300285687,0.6356684300285687,1,0.5772131994518948,128479.0
30,1,1,1,100,D,1976,128479.0,225021.0,128479.0,94106.0,6849,3,0.5772131994518948,0.5772131994518948,1,0.6023613969057963,102749.0
32,1,1,1,100,D,1978,102749.0,172542.0,102749.0,67828.0,6849,4,0.6023613969057963,0.6023613969057963,1,0.6193041065343231,147748.0
38,1,1,1,100,D,1984,147748.0,239362.0,147748.0,90823.0,15414,1,0.6193041065343231,0.6193041065343231,1,0.745036174097959,128930.0
40,1,1,1,100,D,1986,128930.0,173787.0,128930.0,44122.0,15414,2,0.745036174097959,0.745036174097959,1,0.7724427440818041,176463.0
42,1,1,1,100,D,1988,176463.0,228448.0,176463.0,51985.0,15414,3,0.7724427440818041,0.7724427440818041,1,0.6549248588111419,88946.0
48,1,1,1,100,D,1994,88946.0,188907.0,88946.0,46865.0,15414,6,0.6549248588111419,0.6549248588111419,1,0.730097819800337,145169.0
59,1,2,2,100,D,1954,70853.0,143686.0,72833.0,70853.0,22170,0,0.49310997591971384,0.5068900240802862,0,0.4095086277145627,68847.0
61,1,2,2,100,D,1956,68847.0,168121.0,99274.0,68847.0,3078,0,0.4095086277145627,0.5904913722854372,0,0.532890996528637,79672.0
63,1,2,2,100,D,1958,79672.0,149509.0,79672.0,69837.0,4052,0,0.532890996528637,0.532890996528637,1,0.6326581380701095,119530.0
69,1,2,2,100,D,1964,119530.0,188933.0,119530.0,69403.0,24546,0,0.6326581380701095,0.6326581380701095,1,0.5654226675015654,90298.0
71,1,2,2,100,D,1966,90298.0,160639.0,90298.0,69402.0,27652,1,0.5654226675015654,0.5654226675015654,1,0.5437913784363624,106203.0
73,1,2,2,100,D,1968,106203.0,196478.0,106203.0,89098.0,24546,1,0.5437913784363624,0.5437913784363624,1,0.6008422699866526,104436.0
79,1,2,2,100,D,1974,104436.0,176940.0,104436.0,69380.0,8246,0,0.6008422699866526,0.6008422699866526,1,0.6562386456143902,142684.0
81,1,2,2,100,D,1976,142684.0,219284.0,142684.0,74743.0,8246,1,0.6562386456143902,0.6562386456143902,1,0.699222380104442,116624.0
83,1,2,2,100,D,1978,116624.0,166791.0,116624.0,50167.0,8246,2,0.699222380104442,0.699222380104442,1,0.5461890867802965,124110.0
