state,distnum,distid,party,partname,yearel,origvote,totvote,highestvote,sechighestvote,uniqid,officeexp
1,1,1,100,D,1946,82231.0,175237.0,93006.0,82231.0,15937,0
1,1,1,200,R,1946,93006.0,175237.0,93006.0,82231.0,19281,0
1,1,1,100,D,1948,127802.0,233700.0,127802.0,103294.0,23403,0
1,1,1,200,R,1948,103294.0,233700.0,127802.0,103294.0,19281,1
1,1,1,100,D,1950,134258.0,231096.0,134258.0,96251.0,23403,1
1,1,1,200,R,1950,96251.0,231096.0,134258.0,96251.0,25775,0
1,1,1,100,D,1952,160080.0,296620.0,160080.0,136540.0,8243,0
1,1,1,200,R,1952,136540.0,296620.0,160080.0,136540.0,2134,0
1,1,1,100,D,1954,148935.0,261461.0,148935.0,112526.0,8243,1
1,1,1,200,R,1954,112526.0,261461.0,148935.0,112526.0,2580,0
1,1,1,100,D,1956,139147.0,301799.0,161360.0,139147.0,29546,0
1,1,1,200,R,1956,161360.0,301799.0,161360.0,139147.0,18131,0
1,1,1,100,D,1958,146115.0,268885.0,146115.0,122770.0,7302,0
1,1,1,200,R,1958,122770.0,268885.0,146115.0,122770.0,18131,1
1,1,1,100,D,1960,193330.0,330716.0,193330.0,137386.0,7302,1
1,1,1,200,R,1960,137386.0,330716.0,193330.0,137386.0,4262,0
1,1,1,100,D,1962,162844.0,283285.0,162844.0,118767.0,7302,2
1,1,1,200,R,1962,118767.0,283285.0,162844.0,118767.0,6461,0
1,1,1,100,D,1964,141310.0,201964.0,141310.0,60654.0,7302,3
1,1,1,200,R,1964,60654.0,201964.0,141310.0,60654.0,6461,0
1,1,1,100,D,1966,100447.0,173099.0,100447.0,71353.0,7302,4
1,1,1,200,R,1966,71353.0,173099.0,100447.0,71353.0,3864,0
1,1,1,100,D,1968,124966.0,200153.0,124966.0,74615.0,7302,5
1,1,1,200,R,1968,74615.0,200153.0,124966.0,74615.0,16165,0
1,1,1,100,D,1970,88374.0,181357.0,88374.0,87209.0,6849,0
1,1,1,200,R,1970,87209.0,181357.0,88374.0,87209.0,28871,0
1,1,1,100,D,1972,130701.0,229667.0,130701.0,96188.0,6849,1
1,1,1,200,R,1972,96188.0,229667.0,130701.0,96188.0,23590,0
1,1,1,100,D,1974,117038.0,186757.0,117038.0,67080.0,6849,2
1,1,1,200,R,1974,67080.0,186757.0,117038.0,67080.0,4734,0
1,1,1,100,D,1976,128479.0,225021.0,128479.0,94106.0,6849,3
1,1,1,200,R,1976,94106.0,225021.0,128479.0,94106.0,8096,0
1,1,1,100,D,1978,102749.0,172542.0,102749.0,67828.0,6849,4
1,1,1,200,R,1978,67828.0,172542.0,102749.0,67828.0,1901,0
1,1,1,100,D,1980,137849.0,218665.0,137849.0,80816.0,6849,5
1,1,1,200,R,1980,80816.0,218665.0,137849.0,80816.0,1786,0
1,1,1,100,D,1982,126798.0,186110.0,126798.0,58075.0,15414,0
1,1,1,200,R,1982,58075.0,186110.0,126798.0,58075.0,15750,0
1,1,1,100,D,1984,147748.0,239362.0,147748.0,90823.0,15414,1
1,1,1,200,R,1984,90823.0,239362.0,147748.0,90823.0,15750,0
1,1,1,100,D,1986,128930.0,173787.0,128930.0,44122.0,15414,2
1,1,1,200,R,1986,44122.0,173787.0,128930.0,44122.0,15750,0
1,1,1,100,D,1988,176463.0,228448.0,176463.0,51985.0,15414,3
1,1,1,200,R,1988,51985.0,228448.0,176463.0,51985.0,23763,0
1,1,1,100,D,1990,126566.0,177256.0,126566.0,50690.0,15414,4
1,1,1,200,R,1990,50690.0,177256.0,126566.0,50690.0,10807,0
1,1,1,100,D,1992,112838.0,245425.0,112838.0,75113.0,15414,5
1,1,1,200,R,1992,75113.0,245425.0,112838.0,75113.0,27419,0
1,1,1,100,D,1994,88946.0,188907.0,88946.0,46865.0,15414,6
1,1,1,200,R,1994,46865.0,188907.0,88946.0,46865.0,22701,0
1,1,1,100,D,1996,145169.0,215136.0,145169.0,53666.0,15414,7
1,1,1,200,R,1996,53666.0,215136.0,145169.0,53666.0,26597,0
1,1,1,100,D,1998,97681.0,168264.0,97681.0,69668.0,16409,0
1,1,1,200,R,1998,69668.0,168264.0,97681.0,69668.0,21469,0
1,2,2,200,R,1946,59828.0,108204.0,59828.0,,25904,0
1,2,2,200,R,1948,64916.0,134255.0,64916.0,,25904,1
1,2,2,200,R,1950,68747.0,135270.0,68747.0,,25902,0
1,2,2,100,D,1952,72868.0,163695.0,90827.0,72868.0,6026,0
1,2,2,200,R,1952,90827.0,163695.0,90827.0,72868.0,25904,1
1,2,2,100,D,1954,70853.0,143686.0,72833.0,70853.0,22170,0
1,2,2,200,R,1954,72833.0,143686.0,72833.0,70853.0,25904,2
1,2,2,100,D,1956,68847.0,168121.0,99274.0,68847.0,3078,0
1,2,2,200,R,1956,99274.0,168121.0,99274.0,68847.0,25904,3
1,2,2,100,D,1958,79672.0,149509.0,79672.0,69837.0,4052,0
1,2,2,200,R,1958,69837.0,149509.0,79672.0,69837.0,25904,4
1,2,2,100,D,1960,93515.0,187486.0,93971.0,93515.0,27652,0
1,2,2,200,R,1960,93971.0,187486.0,93971.0,93515.0,25904,4
1,2,2,100,D,1962,83652.0,164662.0,83652.0,81010.0,27652,0
1,2,2,200,R,1962,81010.0,164662.0,83652.0,81010.0,24740,0
1,2,2,100,D,1964,119530.0,188933.0,119530.0,69403.0,24546,0
1,2,2,200,R,1964,69403.0,188933.0,119530.0,69403.0,6749,0
1,2,2,100,D,1966,90298.0,160639.0,90298.0,69402.0,27652,1
1,2,2,200,R,1966,69402.0,160639.0,90298.0,69402.0,11255,0
1,2,2,100,D,1968,106203.0,196478.0,106203.0,89098.0,24546,1
1,2,2,200,R,1968,89098.0,196478.0,106203.0,89098.0,17780,0
1,2,2,100,D,1970,81492.0,174338.0,92846.0,81492.0,22150,0
1,2,2,200,R,1970,92846.0,174338.0,92846.0,81492.0,27418,0
1,2,2,100,D,1972,73400.0,215494.0,142094.0,73400.0,13313,0
1,2,2,200,R,1972,142094.0,215494.0,142094.0,73400.0,27418,1
1,2,2,100,D,1974,104436.0,176940.0,104436.0,69380.0,8246,0
